"nct_id","brief_title","overall_status","phase","lead_sponsor","sponsor_class","intervention_names","intervention_types","start_date","completion_date","last_update_post_date","snapshot_date","biomarkers","therapy_classes"
"NCT05800275","Capecitabine, Tucatinib, and Intrathecal Trastuzumab for Breast Cancer Patients With Leptomeningeal Disease","RECRUITING","PHASE2","UNICANCER","OTHER","Tucatinib Oral Tablet | Capecitabine tablets | Trastuzumab Injection","DRUG","2023-12-18","2027-06","2025-11-18","2026-08-12","HER2 | Hormone receptor","HER2-directed"
"NCT01272037","Tamoxifen Citrate, Letrozole, Anastrozole, or Exemestane With or Without Chemotherapy in Treating Patients With Invasive RxPONDER Breast Cancer","ACTIVE_NOT_RECRUITING","PHASE3","National Cancer Institute (NCI)","NIH","Anastrozole | Exemestane | Laboratory Biomarker Analysis | Letrozole | Quality-of-Life Assessment | Systemic Chemotherapy | Tamoxifen Citrate","DRUG | OTHER","2011-02-28","2027-01-08","2026-08-04","2026-08-12","HER2 | Hormone receptor","Endocrine or SERD"
"NCT04576455","A Study Evaluating the Efficacy and Safety of Giredestrant Compared With Physician's Choice of Endocrine Monotherapy in Participants With Previously Treated Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer (acelERA Breast Cancer)","ACTIVE_NOT_RECRUITING","PHASE2","Hoffmann-La Roche","INDUSTRY","Giredestrant | Fulvestrant or an Aromatase Inhibitor (Physician Choice) | LHRH Agonist","DRUG","2020-11-27","2027-08-25","2026-06-18","2026-08-12","HER2 | Hormone receptor","Endocrine or SERD"
"NCT01992952","Fulvestrant +/- Akt Inhibition in Advanced Aromatase Inhibitor Resistant Breast Cancer","ACTIVE_NOT_RECRUITING","PHASE1 | PHASE2","Velindre NHS Trust","OTHER_GOV","AZD5363 | Placebo | Fulvestrant","DRUG","2014-05-07","2025-12-31","2025-11-26","2026-08-12","Hormone receptor | PIK3CA-AKT1-PTEN","Endocrine or SERD | Immunotherapy | PI3K-AKT-mTOR inhibitor"
"NCT07593820","A Phase I Interventional Open-label, Non-randomized Dose-escalation Trial to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, Immunogenicity, and Preliminary Anti-tumor Activity of Autologous p95HER2.CAR-TECH2Me T Cells in Patients With Selected Advanced Cancers.","RECRUITING","PHASE1","Vall d'Hebron Institute of Oncology","OTHER","p95HER2.CAR-TECH2Me","BIOLOGICAL","2026-04-29","2041-04-01","2026-05-22","2026-08-12","Genomic profiling | HER2",
"NCT05392608","SEQUence of Endocrine Therapy in Advanced Luminal Breast Cancer (SEQUEL-Breast)","ACTIVE_NOT_RECRUITING","PHASE2","Borstkanker Onderzoek Groep","NETWORK","Alpelisib 150 MG Oral Tablet [Piqray] | Fulvestrant","DRUG","2022-06-02","2028-03","2026-05-22","2026-08-12","Genomic profiling | HER2 | Hormone receptor | PIK3CA-AKT1-PTEN","CDK4-6 inhibitor | Endocrine or SERD | PI3K-AKT-mTOR inhibitor"
"NCT05329532","Modi-1 Moditope in Breast, Head and Neck, Ovarian, or Renal Cancer","RECRUITING","PHASE1 | PHASE2","Scancell Ltd","INDUSTRY","Modi-1 Moditope | Pembrolizumab | MicronJet600™ microneedle device (NanoPass)","BIOLOGICAL | DEVICE","2022-04-07","2027-07-01","2025-09-17","2026-08-12","PD-L1 or immune","Immunotherapy"
"NCT07646106","THE-0504 in Patients With Solid Tumors","RECRUITING","PHASE1","Thena Biotech S.r.l.","INDUSTRY","THE-0504","DRUG","2024-11-13","2027-05-01","2026-06-12","2026-08-12","BRCA or HRD",
"NCT06595563","HER2 Molecular Imaging With 89Zr-trastuzumab PET/CT as a Predictive Biomarker for Antibody-drug Conjugate Sequencing in Patients With Advanced HER2-positive Breast Cancer","RECRUITING","PHASE2","Jules Bordet Institute","OTHER","Trastuzumab emtansine","DRUG","2026-06-30","2029-09","2026-07-02","2026-08-12","HER2","Antibody-drug conjugate | HER2-directed"
"NCT05512364","Elacestrant for Treating ER+/HER2- Breast Cancer Patients With ctDNA Relapse (TREAT ctDNA)","RECRUITING","PHASE3","European Organisation for Research and Treatment of Cancer - EORTC","NETWORK","Elacestrant | Tamoxifen | Letrozole 2.5mg | Anastrozole 1mg | Exemestane 25 MG","DRUG","2023-12-15","2035-11-01","2026-08-10","2026-08-12","ctDNA or MRD | HER2 | Hormone receptor","CDK4-6 inhibitor | Endocrine or SERD"
