"country_code","country_name","IN_n_cases","MO_n_cases","IN_asr_e_new","MO_asr_e_new","IN_crude_rate","MO_crude_rate","IN_cumulative_risk","MO_cumulative_risk","IN_estimation_method","MO_estimation_method","mortality_incidence_ratio","precision_trials","listed_precision_sites","all_active_trials","precision_trials_per_1000_cases","precision_sites_per_1000_cases","case_share","site_share","access_gap_pp"
"AL","Albania",1253,314,92.4,23.9,88.8,22.2,6.1,1.33,4,3,0.258658008658009,0,0,0,0,0,0.00272833175468966,0,-0.272833175468966
"AT","Austria",5623,1781,111.4,32.9,122.8,38.9,6.7,1.43,1,1,0.295332136445242,51,254,63,9.06989151698382,45.1716165747821,0.0122437425830965,0.0189523951649008,0.670865258180422
"BE","Belgium",10928,2258,176.4,32.9,185.4,38.3,10.66,1.38,1,1,0.186507936507936,117,614,155,10.7064421669107,56.185944363104,0.0237950593896637,0.0458140576033428,2.20189982136791
"BA","Bosnia and Herzegovina",1440,583,72.4,28,86.8,35.2,4.82,1.66,2,1,0.386740331491713,1,3,1,0.694444444444444,2.08333333333333,0.00313551295032172,0.000223847186987017,-0.29116657633347
"BG","Bulgaria",3559,1411,88.4,32.8,102.4,40.6,5.77,1.7,1,1,0.3710407239819,23,75,24,6.4624894633324,21.0733352065187,0.00774950735430208,0.00559617967467542,-0.215332767962666
"HR","Croatia",3040,508,132.1,20.9,150.4,25.1,8.49,1.34,1,1,0.158213474640424,2,11,10,0.657894736842105,3.61842105263158,0.00661941622845696,0.000820773018952395,-0.579864320950456
"CY","Cyprus",700,159,158.1,36.2,148.6,33.8,9.8,1.7,1,4,0.228969006957622,1,2,1,1.42857142857143,2.85714285714286,0.00152420768418417,0.000149231457991345,-0.137497622619282
"CZ","Czechia",7598,1746,126.8,27.7,139.4,32,7.63,1.18,1,1,0.218454258675079,44,195,49,5.79099763095551,25.6646485917347,0.0165441856920447,0.0145500671541561,-0.199411853788863
"DK","Denmark",5242,1203,168.4,35.1,178,40.8,9.92,1.24,1,1,0.208432304038005,28,101,56,5.34147272033575,19.2674551697825,0.0114141381149906,0.0075361886285629,-0.387794948642768
"EE","Estonia",891,275,113.2,31.1,128.6,39.7,6.97,1.5,1,1,0.274734982332155,1,2,1,1.12233445566779,2.24466891133558,0.00194009863801156,0.000149231457991345,-0.179086718002022
"FI","Finland",5204,914,163.2,26.2,186,32.7,9.69,1.28,1,1,0.160539215686275,21,67,28,4.03535741737125,12.8747117601845,0.0113313954121349,0.00499925384271004,-0.633214156942483
"FR","France",62713,14156,169.7,33,178.6,40.3,10.62,1.43,2,1,0.194460813199764,203,2071,338,3.23696841165309,33.0234560617416,0.13655376642606,0.154529174750037,1.79754083239777
"DE","Germany",71600,20786,146.1,37.6,169.3,49.1,8.68,1.71,1,1,0.257357973990418,145,2028,196,2.02513966480447,28.3240223463687,0.155904671696552,0.151320698403223,-0.458397329332863
"GR","Greece",8733,2398,137.9,32.9,161.5,44.3,8.43,1.4,3,1,0.238578680203046,43,266,56,4.92385205542196,30.4591778312149,0.0190155795799719,0.0198477839128488,0.0832204332876917
"HU","Hungary",7448,2196,131.6,36.7,147.8,43.6,8.32,1.82,3,1,0.27887537993921,61,256,67,8.19011815252417,34.3716433941998,0.0162175697597195,0.0191016266228921,0.288405686317256
"IS","Iceland",287,55,172.4,33.7,152.8,29.3,10.4,1.6,1,1,0.195475638051044,1,1,3,3.48432055749129,3.48432055749129,0.000624925150515509,0.0000746157289956723,-0.0550309421519837
"IE","Ireland",3663,810,152.7,35.2,138.9,30.7,9.28,1.53,1,1,0.230517354289456,32,157,48,8.73600873600874,42.8610428610429,0.00797596106738087,0.0117146694523205,0.373870838493968
"IT","Italy",56432,14153,153.1,32.6,183.7,46.1,9.55,1.44,2,1,0.212932723709993,168,1448,257,2.9770343067763,25.6592004536433,0.12287726861983,0.108043575585733,-1.48336930340965
"LV","Latvia",1302,427,115.3,33.3,132.4,43.4,7.48,1.73,1,1,0.288811795316565,1,1,6,0.768049155145929,0.768049155145929,0.00283502629258255,0.0000746157289956723,-0.276041056358688
"LT","Lithuania",1716,550,103.7,30,119,38.1,6.86,1.63,1,1,0.289296046287367,0,0,4,0,0,0.00373648626580005,0,-0.373648626580005
"LU","Luxembourg",493,104,159.2,34,151.9,32,9.24,1.32,3,1,0.21356783919598,1,1,3,2.02839756592292,2.02839756592292,0.00107347769757542,0.0000746157289956723,-0.0998861968579749
"MT","Malta",457,96,165.8,33.9,173.2,36.4,9.31,1.57,1,1,0.204463208685163,1,1,1,2.18818380743982,2.18818380743982,0.000995089873817378,0.0000746157289956723,-0.0920474144821706
"NL","Netherlands",15155,3463,161.6,34.7,170.1,38.9,10.03,1.56,1,1,0.214727722772277,74,507,111,4.88287693830419,33.4543055097328,0.0329990963625872,0.0378301746008059,0.483107823821861
"NO","Norway",4500,664,166.6,23.7,164.4,24.3,10.16,1.12,1,1,0.142256902761104,12,34,24,2.66666666666667,7.55555555555556,0.00979847796975536,0.00253693478585286,-0.726154318390251
"PL","Poland",23238,7664,110.5,34.8,119.7,39.5,7.17,1.65,1,1,0.314932126696833,91,590,102,3.91599965573629,25.3894483174111,0.0505993402358167,0.0440232801074466,-0.657606012837006
"PT","Portugal",9100,2101,145.6,29.6,167.2,38.6,9.34,1.4,2,1,0.203296703296703,57,259,73,6.26373626373626,28.4615384615385,0.0198146998943942,0.0193254738098791,-0.048922608451506
"MK","Republic of North Macedonia",1222,429,126.9,46.1,130.5,45.8,8.01,2.29,3,1,0.36327817178881,1,3,2,0.818330605564648,2.45499181669394,0.00266083112867579,0.000223847186987017,-0.243698394168877
"RO","Romania",12308,3599,117,33,129.4,37.9,7.6,1.84,3,1,0.282051282051282,29,180,31,2.35619109522262,14.6246343841404,0.0267999259670553,0.013430831219221,-1.33690947478343
