"measure_code","measure_label","country_code","country_name","is_group","country_color","estimation_method","cancer_entity_id","cancer_entity_label","cancer_entity_color","year_range","n_cases","asr_e_new","asr_e_old","asr_w","crude_rate","cumulative_risk","snapshot_date","source_url"
"IN","Incidence","AL","Albania","0","","4","29","Breast","#ebafde","2024-2024","1253","92.4","75.4","56.8","88.8","6.10","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","ACA","All countries","1",,,"29","Breast","#ebafde","2024-2024","402459","121.1","95.2","70.6","133.4","7.55","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","AT","Austria","0",,"1","29","Breast","#ebafde","2024-2024","5623","111.4","84.6","61.8","122.8","6.70","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","BE","Belgium","0",,"1","29","Breast","#ebafde","2024-2024","10928","176.4","136.1","99.9","185.4","10.66","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","BA","Bosnia and Herzegovina","0",,"2","29","Breast","#ebafde","2024-2024","1440","72.4","57.5","42.4","86.8","4.82","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","BG","Bulgaria","0",,"1","29","Breast","#ebafde","2024-2024","3559","88.4","71.2","53.2","102.4","5.77","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","HR","Croatia","0",,"1","29","Breast","#ebafde","2024-2024","3040","132.1","105.8","78.9","150.4","8.49","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","CY","Cyprus","0",,"1","29","Breast","#ebafde","2024-2024","700","158.1","125.3","92.9","148.6","9.80","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","CZ","Czechia","0",,"1","29","Breast","#ebafde","2024-2024","7598","126.8","97.7","71.9","139.4","7.63","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
"IN","Incidence","DK","Denmark","0",,"1","29","Breast","#ebafde","2024-2024","5242","168.4","129.0","94.3","178.0","9.92","2026-08-12","https://ecis.jrc.ec.europa.eu/ecis-api/v2/data/estimates/incidenceByCountrySummary?measure=IN&country=ACA&sexId=2&cancerEntity=29&ageMin=0&ageMax=85%2B&yearFrom=2024&yearTo=2024"
